,HospRowID,H9Name,H9Affiliation,H9HospType,H9ProfitStatus,H9Beds,H9ICUBeds,H9NumAdm,H9NumPatDays
10482,1,"Baystate Medical Center - Springfield, MA",Yes,Major teaching,Not-for-profit,791,102,42682,219290
11303,2,"UMass Memorial Medical Center - University Campus - Worcester, MA",Yes,Major teaching,Not-for-profit,405,91,22729,143385
11571,3,"Beverly Hospital - Lahey Health - Beverly, MA",No,Nonteaching,Not-for-profit,211,14,22640,78992
11558,4,"Tufts Medical Center - Boston, MA",Yes,Major teaching,Not-for-profit,407,98,17367,102731
12468,5,"Brockton Hospital - Signature Healthcare - Brockton, MA",Yes,Graduate teaching,Not-for-profit,216,16,5799,56868
12515,6,"Cape Cod Hospital - Cape Cod Healthcare - Hyannis, MA",No,Nonteaching,Not-for-profit,246,22,23213,80975
12516,7,"Falmouth Hospital - Cape Cod Healthcare - Falmouth, MA",No,Nonteaching,Not-for-profit,95,10,8034,26031
12538,8,"Berkshire Medical Center - Berkshire Health Systems - Pittsfield, MA",Yes,Major teaching,Not-for-profit,298,20,14775,69800
12568,9,"Massachusetts General Hospital - Boston, MA",Yes,Major teaching,Not-for-profit,1035,146,59583,337691
12574,10,"Tobey Hospital - Southcoast Health - Wareham, MA",No,Nonteaching,Not-for-profit,74,10,5789,18340
12576,11,"St. Lukes Hospital - Southcoast Health - New Bedford, MA",No,Nonteaching,Not-for-profit,391,32,21875,85705
12578,12,"Charlton Memorial Hospital - Southcoast Health - Fall River, MA",No,Nonteaching,Not-for-profit,328,32,18571,80968
12582,13,"Norwood Hospital - Steward Health Care - Norwood, MA",Yes,Undergraduate teaching,For-profit,231,11,13624,59214
12588,14,"Saint Annes Hospital - Steward Health Care - Fall River, MA",Yes,Undergraduate teaching,For-profit,152,12,9908,49016
12596,15,"Brigham and Womens Hospital - Boston, MA",Yes,Major teaching,Not-for-profit,851,163,55055,288709
12598,16,"Holyoke Medical Center - Holyoke, MA",Yes,Undergraduate teaching,Not-for-profit,198,10,7578,23648
12599,17,"St. Elizabeths Medical Center - Steward Health Care - Brighton, MA",Yes,Major teaching,For-profit,302,46,13463,75920
12600,18,"Holy Family Hospital - Steward Health Care - Methuen, MA",Yes,Undergraduate teaching,For-profit,242,19,5304,47505
12601,19,"Carney Hospital - Steward Health Care - Boston, MA",Yes,Graduate teaching,For-profit,93,8,5989,28262
12618,20,"Newton-Wellesley Hospital - Newton, MA",Yes,Major teaching,Not-for-profit,337,12,20112,72723
12619,21,"Morton Hospital - Steward Health Care - Taunton, MA",Yes,Undergraduate teaching,For-profit,125,12,5378,26099
12622,22,"Good Samaritan Medical Center - Steward Health Care - Brockton, MA",Yes,Undergraduate teaching,For-profit,267,18,17472,76737
12630,23,"Boston Medical Center - Boston, MA",Yes,Major teaching,Not-for-profit,487,89,25994,159159
12643,24,"Beth Israel Deaconess Hospital - Plymouth - Plymouth, MA",Yes,Undergraduate teaching,Not-for-profit,170,13,12313,52508
12654,25,"Winchester Hospital - Lahey Health - Winchester, MA",Yes,Graduate teaching,Not-for-profit,189,10,17614,54954
12670,26,"Emerson Hospital - Concord, MA",No,Nonteaching,Not-for-profit,179,14,10039,26109
12674,27,"Lowell General Hospital - Main Campus - Lowell, MA",No,Nonteaching,Not-for-profit,240,33,17016,78341
12679,28,"Lahey Hospital & Medical Center - Lahey Health - Burlington, MA",Yes,Major teaching,Not-for-profit,335,52,24395,114157
12685,29,"Anna Jaques Hospital - Newburyport, MA",No,Nonteaching,Not-for-profit,109,6,7003,30333
12686,30,"Heywood Hospital - Gardner, MA",No,Nonteaching,Not-for-profit,134,6,7100,25895
12698,31,"Boston Childrens Hospital - Boston, MA",Yes,Major teaching,Not-for-profit,404,107,15425,130928
12700,32,"HealthAlliance Hospital - UMass Memorial Health Care - Leominster, MA",Yes,Graduate teaching,Not-for-profit,143,10,6540,25911
12703,33,"Mount Auburn Hospital - Cambridge, MA",Yes,Major teaching,Not-for-profit,217,20,18925,65298
12705,34,"Shriners Hospital for Children - Boston - Boston, MA",No,Nonteaching,Not-for-profit,14,4,1073,2807
12708,35,"Baystate Noble Hospital - Westfield, MA",No,Nonteaching,Not-for-profit,97,0,2550,16285
12709,36,"New England Baptist Hospital - Boston, MA",Yes,Graduate teaching,Not-for-profit,118,8,8281,19611
12714,37,"Lowell General Hospital - Saints Campus - Lowell, MA",No,Nonteaching,Not-for-profit,70,10,3457,16731
12751,38,"Clinton Hospital - UMass Memorial Health Care - Clinton, MA",No,Nonteaching,Not-for-profit,41,0,895,9398
12752,39,"Milford Regional Medical Center - Milford, MA",Yes,Major teaching,Not-for-profit,149,10,10095,41150
12778,40,"Baystate Franklin Medical Center - Greenfield, MA",Yes,Major teaching,Not-for-profit,107,6,4764,19019
12793,41,"Lawrence General Hospital - Lawrence, MA",Yes,Major teaching,Not-for-profit,189,19,11950,46324
12808,42,"South Shore Hospital - South Weymouth, MA",Yes,Graduate teaching,Not-for-profit,393,54,33966,128280
12833,43,"Marthas Vineyard Hospital - Oak Bluffs, MA",No,Nonteaching,Not-for-profit,25,3,1350,1594
12837,44,"Cooley Dickinson Hospital - Northampton, MA",Yes,Undergraduate teaching,Not-for-profit,140,11,8665,32858
12866,45,"Beth Israel Deaconess Hospital - Needham - Needham, MA",No,Nonteaching,Not-for-profit,58,7,3919,13293
