OrgID,FacID,HospCity,HospZip,HospCountyName,HospPerfScore,HospLatLong
12685,220029,NEWBURYPORT,01950,Essex,28.0000,POINT (-70.889783 42.814358)
12778,220016,GREENFIELD,01301,Franklin,44.6667,POINT (-72.591287 42.595606)
10482,220077,SPRINGFIELD,01199,Hampden,32.2500,POINT (-72.605956 42.121712)
12708,220065,WESTFIELD,01085,Hampden,44.8333,POINT (-72.760397 42.117789)
13381,220030,PALMER,01069,Hampden,40.6667,POINT (-72.341031 42.168727)
12538,220046,PITTSFIELD,01201,Berkshire,28.2917,POINT (-73.249004 42.45874800000001)
12866,220083,NEEDHAM,02494,Norfolk,40.7500,POINT (-71.237358 42.277574)
12643,220060,PLYMOUTH,02360,Plymouth,46.8333,POINT (-70.64472 41.944246)
13230,220108,MILTON,02186,Norfolk,47.8750,POINT (-71.075213 42.252352)
13000,220086,BOSTON,02215,Suffolk,31.2500,POINT (-71.105504 42.340575)
11571,220033,BEVERLY,01915,Essex,38.7500,POINT (-70.876201 42.567592)
12630,220031,BOSTON,02118,Suffolk,31.2500,POINT (-71.07448 42.33481)
12955,220119,BOSTON,02130,Suffolk,52.3750,POINT (-71.127203 42.300886)
12596,220110,BOSTON,02115,Suffolk,38.6667,POINT (-71.107661 42.335954)
13213,220011,CAMBRIDGE,02138,Middlesex,41.5417,POINT (-71.104455 42.374186)
12515,220012,HYANNIS,02601,Barnstable,34.9583,POINT (-70.274847 41.652823)
12601,220017,BOSTON,02124,Suffolk,28.0000,POINT (-71.066442 42.278108)
12837,220015,NORTHAMPTON,01060,Hampshire,36.8750,POINT (-72.653372 42.331626)
12670,220084,W CONCORD,01742,Middlesex,40.8750,POINT (-71.377231 42.452628)
12516,220135,FALMOUTH,02540,Barnstable,40.6250,POINT (-70.621126 41.564962)
12622,220111,BROCKTON,02301,Plymouth,38.9167,POINT (-71.065645 42.09707)
13022,220019,SOUTHBRIDGE,01550,Worcester,35.0000,POINT (-72.042065 42.077182)
12751,220001,LEOMINSTER,01453,Worcester,29.0000,POINT (-71.763033 42.54119300000001)
12686,220095,GARDNER,01440,Worcester,23.0000,POINT (-71.986165 42.586565)
12600,220080,METHUEN,01844,Essex,20.4583,POINT (-71.169618 42.725829)
12598,220024,HOLYOKE,01040,Hampden,34.0833,POINT (-72.627087 42.199616)
12679,220171,BURLINGTON,01803,Middlesex,34.7500,POINT (-71.20563 42.486578)
12793,220010,LAWRENCE,01842,Essex,35.5417,
12674,220063,LOWELL,01854,Middlesex,28.1667,POINT (-71.341323 42.646307)
12875,220049,MARLBOROUGH,01752,Middlesex,38.2500,POINT (-71.553864 42.354317)
12568,220071,BOSTON,02114,Suffolk,43.5833,POINT (-71.068777 42.3624)
13298,220070,MELROSE,02176,Middlesex,23.5417,POINT (-71.061993 42.460278)
13091,220066,SPRINGFIELD,01104,Hampden,38.9167,POINT (-72.595442 42.11587800000001)
13201,220175,FRAMINGHAM,01701,Middlesex,33.7500,POINT (-71.419754 42.28427)
12752,220090,MILFORD,01757,Worcester,41.3750,POINT (-71.529014 42.132835)
12619,220073,TAUNTON,02780,Bristol,21.6250,POINT (-71.09435 41.90558300000001)
12703,220002,CAMBRIDGE,02138,Middlesex,48.6250,POINT (-71.134107 42.374917)
13290,220098,AYER,01432,Middlesex,36.2222,POINT (-71.573053 42.576412)
12618,220101,NEWTON,02462,Middlesex,49.9167,POINT (-71.246592 42.332339)
13116,220035,SALEM,01970,Essex,49.1667,POINT (-70.907251 42.511747)
12582,220126,NORWOOD,02062,Norfolk,21.2500,POINT (-71.20264 42.189462)
12588,220020,FALL RIVER,02721,Bristol,44.3750,POINT (-71.163642 41.693321)
12468,220052,BROCKTON,02302,Plymouth,50.9167,POINT (-70.991083 42.08621)
12808,220100,SOUTH WEYMOUTH,02190,Norfolk,42.0417,POINT (-70.954075 42.17472)
12578,220074,FALL RIVER,02720,Bristol,33.0417,POINT (-71.146439 41.710522)
12599,220036,BRIGHTON,02135,Suffolk,31.5833,POINT (-71.14812 42.349773)
13348,220176,WORCESTER,01608,Worcester,37.1667,POINT (-71.79549 42.265971)
13174,220008,ATTLEBORO,02703,Bristol,23.0833,POINT (-71.275279 41.942695)
11558,220116,BOSTON,02111,Suffolk,31.5000,POINT (-71.063693 42.349486000000006)
53639,220163,WORCESTER,01655,Worcester,33.5833,POINT (-71.759079 42.27851)
12654,220105,WINCHESTER,01890,Middlesex,42.9167,POINT (-71.121408 42.465496)
